rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
3704,3044/air-assault-creteinvasion-malta-1942,Air Assault On Crete/Invasion of Malta: 1942,2,2,240,240,240,6.35859,5.72523,424,https://cf.geekdo-images.com/images/pic243417.jpg,12,Hex-and-Counter,1299,"Aviation / Flight, Wargame, World War II",3.1864
3705,181811/tatsu,Tatsu,2,2,45,30,45,6.8742,5.7252,224,https://cf.geekdo-images.com/images/pic2616564.jpg,8,Roll / Spin and Move,390,Abstract Strategy,1.6667
3706,38275/robotory,Robotory,2,2,15,15,15,6.3127,5.7252,408,https://cf.geekdo-images.com/images/pic532134.jpg,8,Grid Movement,838,Abstract Strategy,1.7436
3707,27766/die-siedler-von-catan-junior,Die Siedler von Catan: Junior,3,4,30,30,30,6.41133,5.72512,361,https://cf.geekdo-images.com/images/pic266168.jpg,6,"Dice Rolling, Hand Management, Memory, Route/Network Building, Trading",691,"Children's Game, Negotiation, Pirates",1.6071
3708,202732/raise-your-goblets,Raise Your Goblets,2,12,45,20,45,6.1223,5.72505,680,https://cf.geekdo-images.com/images/pic3132188.jpg,8,"Hand Management, Memory, Partnerships, Variable Player Powers",1077,"Deduction, Humor, Memory, Party Game",1.4444
3709,5614/achtung-spitfire,Achtung: Spitfire!,1,99,240,240,240,7.25136,5.72474,184,https://cf.geekdo-images.com/images/pic30564.jpg,12,"Dice Rolling, Hex-and-Counter",516,"Aviation / Flight, Wargame, World War II",4.1613
3710,175088/pharaohs-gulo-gulo,Pharaoh's Gulo Gulo,2,6,20,20,20,6.90609,5.72463,202,https://cf.geekdo-images.com/images/pic2558240.jpg,7,Modular Board,470,"Action / Dexterity, Adventure, Children's Game",1.2
3711,175495/titan-race,Titan Race,2,6,30,30,30,6.28425,5.7244,439,https://cf.geekdo-images.com/images/pic2527069.jpg,8,"Dice Rolling, Grid Movement, Take That, Variable Player Powers",911,"Dice, Fantasy, Racing",1.6
3712,55763/mister-x,Mister X,2,6,60,60,60,6.70376,5.72433,274,https://cf.geekdo-images.com/images/pic580418.jpg,10,"Hand Management, Partnerships, Point to Point Movement",490,"Bluffing, Deduction",2.0667
3713,125315/flowerfall,FlowerFall,2,7,10,10,10,6.05985,5.72432,731,https://cf.geekdo-images.com/images/pic1391445.jpg,6,"Area Control / Area Influence, Modular Board",1058,"Action / Dexterity, Card Game, Party Game",1.0465
3714,9804/gettysburg-badges-courage,Gettysburg: Badges of Courage,2,2,180,180,180,7.04219,5.72422,198,https://cf.geekdo-images.com/images/pic79480.jpg,12,"Area Movement, Area-Impulse, Dice Rolling, Secret Unit Deployment",443,"American Civil War, Wargame",3.1667
3715,37906/firestorm-armada,Firestorm Armada,2,4,90,90,90,7.34485,5.72413,165,https://cf.geekdo-images.com/images/pic2258249.jpg,12,"Action Point Allowance System, Dice Rolling",386,"Miniatures, Science Fiction, Wargame",3.0357
3716,57141/codeword-cromwell-german-invasion-england-8-june-1,"Codeword Cromwell: The German Invasion of England, 8 June 1940",1,1,120,120,120,7.95189,5.72387,106,https://cf.geekdo-images.com/images/pic566684.jpg,10,none,326,"Adventure, Dice, Wargame, World War II",2.9333
3717,151835/qwixx-das-kartenspiel,Qwixx: Das Kartenspiel,2,5,15,15,15,6.45951,5.72385,305,https://cf.geekdo-images.com/images/pic1874932.jpg,8,"Card Drafting, Hand Management",566,Card Game,1.15
3718,39088/hoppladi-hopplada,Hoppladi Hopplada!,2,7,20,20,20,6.30319,5.72383,407,https://cf.geekdo-images.com/images/pic389241.jpg,8,"Dice Rolling, Press Your Luck",624,"Animals, Children's Game, Dice",1.2647
3719,19187/dungeoneer-realm-ice-witch,Dungeoneer: Realm of the Ice Witch,2,4,60,60,60,6.32599,5.72374,406,https://cf.geekdo-images.com/images/pic87559.jpg,12,"Dice Rolling, Hand Management, Modular Board, Variable Player Powers",1022,"Adventure, Card Game, Exploration, Fantasy",2
3720,69234/operation-dauntless-battles-fontenay-and-rauray-fr,"Operation Dauntless: The Battles for Fontenay and Rauray, France, June 1944",2,2,120,120,120,7.83358,5.72372,134,https://cf.geekdo-images.com/images/pic2700690.png,12,"Dice Rolling, Hex-and-Counter, Simulation",754,"Wargame, World War II",3.8182
3721,62922/none-heroes,None But Heroes,2,2,60,60,60,8.21132,5.72368,106,https://cf.geekdo-images.com/images/pic960574.jpg,15,"Dice Rolling, Hex-and-Counter",553,"American Civil War, Civil War, Wargame",3.7143
